TEXT_KEY;ENGLISH;POLISH
ARGENTINA_1;Camino a La Puerta.;Camino a La Puerta.
ARGENTINA_2;Valle de los puantes a la inversa.;Valle de los puantes a la inversa.
ARGENTINA_3;Camino de acantilados y rocas.;Camino de acantilados y rocas.
ARGENTINA_4;El Rodeo.;El Rodeo.
ARGENTINA_5;La Merced.;La Merced.
AUSTRALIA_1;Chandlers Creek.;Chandlers Creek.
AUSTRALIA_2;Mount Kaye Pass.;Mount Kaye Pass.
AUSTRALIA_3;Rockton Plains.;Rockton Plains.
AUSTRALIA_4;Yambulla Mountain Ascent.;Yambulla Mountain Ascent.
AUSTRALIA_5;Chandlers Creek.;Chandlers Creek.
POLAND_1;Jezioro Lukie.;Jezioro Lukie.
POLAND_2;Zagórze.;Zagórze.
POLAND_3;Borysik.;Borysik.
POLAND_4;Józefin.;Józefin.
POLAND_5;Świdnica.;Świdnica.
SPAIN_1;Descenso por carretera.;Descenso por carretera.
SPAIN_2;Final de Bellriu.;Final de Bellriu.
SPAIN_3;Ascenso por valle el Gualet.;Ascenso por valle el Gualet.
SPAIN_4;Barcelona.;Barcelona.
SPAIN_5;Ascenso bosque Montverd.;Ascenso bosque Montverd.
NEW_ZEALAND_1;Waimarama Sprint.;Waimarama Sprint.
NEW_ZEALAND_2;Ocean Beach.;Ocean Beach.
NEW_ZEALAND_3;Te Awanga Sprint.;Te Awanga Sprint.
NEW_ZEALAND_4;Waimarama Point.;Waimarama Point.
NEW_ZEALAND_5;Elsthorpe Sprint.;Elsthorpe Sprint.
