TEXT_KEY;ENGLISH;POLISH
STAGE_COMPLETED_1;Stage completed! Good job!;Etap ukończony! Dobra robota!
TIME;Your time is: ; Twój czas wynosi: ;
SECONDS; seconds.; sekund.
SCORE;Your score is: ; Twój wynik to:
POINTS; points.; punktów.;
CAR_DAMAGE;The condition of the car is: ;Sprawność pojazdu wynosi:
RACE_AGAIN;Start the race again.;Rozpocznij wyścig jeszcze raz.
MENU;Return to main menu.;Powróć do głównego menu.
READ_SCORE;Result of the rally.;Wynik rajdu.
IDLE;You are in the summary screen of the raid stage. You can read the results, repeat the race or return to the main menu. Swipe left or right to navigate through the options. Confirm the option by double-tapping your finger.;Znajdujesz się w ekranie podsumowującym etap rajdu. Możesz odczytać wyniki, powtórzyć wyścig lub porwócić do menu głównego. Przesuń palcem w lewo lub prawo, by poruszać się po opcjach. Podwójnym stuknięciem palcem zatwierdź opcję.
