TEXT_KEY;ENGLISH;POLISH
SETTINGS_TUTORIAL;Settings.;Ustawienia.
SETTINGS_VIBRATION_ON;Selected option: Activate vibrations.;Zaznaczona opcja: Aktywuj wibracje.
SETTINGS_VIBRATION_OFF;Selected option: Deactivate vibrations.;Zaznaczona opcja: Dezaktywuj wibracje.
SETTINGS_DISPLAY_ON;Selected option: Activate screen display.;Zaznaczona opcja: Aktywuj wyświetlanie ekranu.
SETTINGS_DISPLAY_OFF;Selected option: Deactivate screen display.;Zaznaczona opcja: Dezaktywuj wyświetlanie ekranu.
SETTINGS_INTRODUCTION_ON;Selected option: Activate information screen.;Zaznaczona opcja: Aktywuj wstępną informację.
SETTINGS_INTRODUCTION_OFF;Selected option: Deactivate information screen.;Zaznaczona opcja: Dezaktywuj wstępną informację.
SETTINGS_TTS;Selected option: Speaker volume.;Zaznaczona opcja: Głośność lektora.
SETTINGS_TTS_VOLUME;Speaker volume.;Głośność lektora.
SETTINGS_SOUNDS;Selected option: Sounds volume.;Zaznaczona opcja: Głośność dźwięków.
SETTINGS_SOUNDS_VOLUME;Sounds volume;Głośność dźwięków
SETTINGS_EXIT;Return to the main menu.;Powrót do menu głównego.
SETTINGS_VOLUME_10; ten percent.; dziesięć procent.
SETTINGS_VOLUME_20; twenty percent.; dwadzieścia procent.
SETTINGS_VOLUME_30; thirty percent.; trzydzieści procent.
SETTINGS_VOLUME_40; forty percent.; czterdzieśći procent.
SETTINGS_VOLUME_50; fifty percent.; pięćdziesiąt procent.
SETTINGS_VOLUME_60; sixty percent.; sześćdziesiąt procent.
SETTINGS_VOLUME_70; seventy percent.; siememdziesiąt procent.
SETTINGS_VOLUME_80; eighty percent.; osiemdziesiąt procent.
SETTINGS_VOLUME_90; ninety percent.; dziewięćdziesiąt procent.
SETTINGS_VOLUME_100; one hundred percent.; sto procent.
IDLE;You are in the settings menu. You can turn vibrations on or off, turn on or off screen display, turn on or off the initial information displayed before entering the main menu, change the volume of the speech synthesizer or the volume of other sounds. Swipe left or right to navigate through the options. Confirm the option by double-tapping your finger.;Znajdujesz się w menu ustawień. Możesz włączyć lub wyłączyć wibracje, włączyć lub wyłączyć wyświetlanie ekranu, włączyć lub wyłączyć wstępną informację pokazywaną przed wejściem do głównego menu, zmienić głośność syntezatora mowy lub głośność pozostałych dźwięków. Przesuń palcem w lewo lub prawo, by poruszać się po opcjach. Podwójnym stuknięciem palcem zatwierdź opcję.
